Numero Lancamento,Data,Historico,Conta Debito,Valor Debito,Conta Credito,Valor Credito
1,2026-01-01,Balanço de abertura do exercício 2026 (saldos reportados em 31/12/2025),1.1.1.001 - Caixa - Banco Itaú,3212.35,,
,,,1.1.1.002 - Caixa - XP (conta encerrada em 30/03/2026),1011.04,,
,,,1.1.2.001 - Juros Acruados a Receber - Itaú (posições com cupom periódico),41950,,
,,,1.1.2.006 - Juros Acruados a Receber - XP/Bradesco,24158,,
,,,1.1.3.001 - Pimco (Itaú),117670.01,,
,,,1.1.3.002 - Vale- jul30 (Itaú),196812.5,,
,,,1.1.3.003 - Odebrechet (Itaú),28710,,
,,,1.1.3.004 - Petrobrás- jan31 (Itaú),256952.5,,
,,,1.1.3.005 - Vale- nov36 (Itaú),147570.5,,
,,,1.1.3.006 - CLN HSBC (Itaú),50000,,
,,,1.1.3.007 - CLN ARCMITTAL (Itaú),100000,,
,,,1.1.3.008 - CLN BOFA (Itaú),100000,,
,,,1.1.3.009 - VANG (Itaú),11255.7,,
,,,1.1.3.010 - CLN JP MORGAN (Itaú),200000,,
,,,1.1.3.011 - HSBC (Itaú),191200,,
,,,1.1.3.012 - Santander- jan30 (Itaú),208300,,
,,,1.1.3.013 - JPM CP NOTE (Itaú),240000,,
,,,1.1.3.014 - CLN GLENCORE (Itaú),190000,,
,,,1.1.3.015 - OAKTREE FUND (Itaú),151912.25,,
,,,1.1.3.016 - BB (Itaú),204440,,
,,,1.1.3.017 - Suzano (Itaú),216048,,
,,,1.1.3.018 - CD Itaú 17fev26 (Itaú),200350.24,,
,,,1.1.3.019 - Note GLD (Itaú),97662.02,,
,,,1.1.3.020 - CLN Bradesco (Itaú),200000,,
,,,1.1.4.001 - XP Real State (XP/Bradesco),53068.85,,
,,,1.1.4.002 - Petrobrás- jan31 (XP/Bradesco),97920,,
,,,1.1.4.003 - Petrobrás-jan40 (XP/Bradesco),107227.5,,
,,,1.1.4.004 - Santander- jul27 (XP/Bradesco),96295,,
,,,1.1.4.005 - Ultrapar- jun29 (XP/Bradesco),148260,,
,,,1.1.4.006 - Eletrobrás (XP/Bradesco),151307.5,,
,,,1.1.4.007 - Dell- out29 (XP/Bradesco),94112.5,,
,,,1.1.4.008 - GM- out28 (XP/Bradesco),95800,,
,,,1.1.4.009 - BB (XP/Bradesco),124750,,
,,,1.1.4.010 - Jp Morgan (XP/Bradesco),97845,,
,,,1.1.4.011 - Bank Amer (XP/Bradesco),98860,,
,,,1.1.4.012 - Goldman Sachs (XP/Bradesco),48895,,
,,,1.1.4.013 - Citigroup (XP/Bradesco),49270,,
,,,1.1.4.014 - Morgan Stanley (XP/Bradesco),96705,,
,,,1.1.4.015 - Wells Fargo & Co (XP/Bradesco),70026.4,,
,,,1.1.4.016 - Bradesco (XP/Bradesco),82620,,
,,,1.1.4.017 - Itaú fev2030 (XP/Bradesco),100500,,
,,,,,3.1.001 - Capital Social - Itaú,19549
,,,,,3.1.002 - Capital Social - XP,30451
,,,,,3.2.001 - Reserva de Capital (Allowance) - Itaú,1852640.38
,,,,,3.2.002 - Reserva de Capital (Allowance) - XP,242344.85
,,,,,3.3.001 - Lucros Acumulados - Itaú,1281856.69
,,,,,3.3.002 - Lucros Acumulados - XP,1365835.94
2,2026-01-03,Juros recebidos Petrobrás,1.1.1.001 - Caixa - Banco Itaú,6580,,
,,,,,1.1.2.001 - Juros Acruados a Receber - Itaú (posições com cupom periódico),6580
3,2026-01-05,Juros recebidos Petrobrás,1.1.1.002 - Caixa - XP (conta encerrada em 30/03/2026),2380,,
,,,,,1.1.2.006 - Juros Acruados a Receber - XP/Bradesco,2380
4,2026-01-07,Juros CLN BOFA,1.1.1.001 - Caixa - Banco Itaú,1431.11,,
,,,,,1.1.2.001 - Juros Acruados a Receber - Itaú (posições com cupom periódico),1431.11
5,2026-01-07,Pagamento XP Real State,1.1.1.002 - Caixa - XP (conta encerrada em 30/03/2026),53068.88,,
,,,,,1.1.4.001 - XP Real State (XP/Bradesco),53068.88
6,2026-01-07,receita liquidação Real State,1.1.4.001 - XP Real State (XP/Bradesco),0.03,,
,,,,,4.2.001 - Receitas Financeiras - XP/Bradesco (rendimentos e juros diversos),0.03
7,2026-01-08,Juros recebidos Vale,1.1.1.001 - Caixa - Banco Itaú,4406.25,,
,,,,,1.1.2.001 - Juros Acruados a Receber - Itaú (posições com cupom periódico),4406.25
8,2026-01-09,Juros CLN Glencore,1.1.1.001 - Caixa - Banco Itaú,2773.35,,
,,,,,1.1.2.001 - Juros Acruados a Receber - Itaú (posições com cupom periódico),2773.35
9,2026-01-09,Juros CLN JPM,1.1.1.001 - Caixa - Banco Itaú,2827.31,,
,,,,,1.1.2.001 - Juros Acruados a Receber - Itaú (posições com cupom periódico),2827.31
10,2026-01-09,Juros recebidos Santander,1.1.1.001 - Caixa - Banco Itaú,6174,,
,,,,,1.1.2.001 - Juros Acruados a Receber - Itaú (posições com cupom periódico),6174
11,2026-01-13,Juros recebidos Santander,1.1.1.002 - Caixa - XP (conta encerrada em 30/03/2026),2200,,
,,,,,1.1.2.006 - Juros Acruados a Receber - XP/Bradesco,2200
12,2026-01-15,Juros recebidos Suzano,1.1.1.001 - Caixa - Banco Itaú,3750,,
,,,,,1.1.2.001 - Juros Acruados a Receber - Itaú (posições com cupom periódico),3750
13,2026-01-20,Juros recebidos Petrobrás,1.1.1.002 - Caixa - XP (conta encerrada em 30/03/2026),2921.88,,
,,,,,1.1.2.006 - Juros Acruados a Receber - XP/Bradesco,2921.88
14,2026-01-22,Juros recebidos Bradesco,1.1.1.002 - Caixa - XP (conta encerrada em 30/03/2026),2632.5,,
,,,,,1.1.2.006 - Juros Acruados a Receber - XP/Bradesco,2632.5
15,2026-01-22,Juros recebidos Morgan Stanley,1.1.1.002 - Caixa - XP (conta encerrada em 30/03/2026),1416.98,,
,,,,,1.1.2.006 - Juros Acruados a Receber - XP/Bradesco,1416.98
16,2026-01-23,Juros recebidos Wells Fargo,1.1.1.002 - Caixa - XP (conta encerrada em 30/03/2026),1767.32,,
,,,,,1.1.2.006 - Juros Acruados a Receber - XP/Bradesco,1767.32
17,2026-01-30,Rendimento aplicação automática,1.1.1.002 - Caixa - XP (conta encerrada em 30/03/2026),118.62,,
,,,,,4.2.001 - Receitas Financeiras - XP/Bradesco (rendimentos e juros diversos),118.62
18,2026-01-31,Rendimento Fundo Pimco,1.1.3.001 - Pimco (Itaú),224.08,,
,,,,,"4.1.001 - Receitas Financeiras - Itaú (rendimentos, dividendos e juros diversos)",224.08
19,2026-01-31,Rendimento Vang,1.1.3.009 - VANG (Itaú),76.5,,
,,,,,"4.1.001 - Receitas Financeiras - Itaú (rendimentos, dividendos e juros diversos)",76.5
20,2026-01-31,Rendimento OakTree Fund,1.1.3.015 - OAKTREE FUND (Itaú),721.51,,
,,,,,"4.1.001 - Receitas Financeiras - Itaú (rendimentos, dividendos e juros diversos)",721.51
21,2026-01-31,Rendimento CD Itaú,1.1.3.018 - CD Itaú 17fev26 (Itaú),745.37,,
,,,,,"4.1.001 - Receitas Financeiras - Itaú (rendimentos, dividendos e juros diversos)",745.37
22,2026-01-31,Rendimento Note GLD,1.1.3.019 - Note GLD (Itaú),7945.88,,
,,,,,"4.1.001 - Receitas Financeiras - Itaú (rendimentos, dividendos e juros diversos)",7945.88
23,2026-02-04,Juros recebidos Eletrobrás/ Axia,1.1.1.002 - Caixa - XP (conta encerrada em 30/03/2026),3353.13,,
,,,,,1.1.2.006 - Juros Acruados a Receber - XP/Bradesco,3353.13
24,2026-02-09,Juros recebidos Bank Amer,1.1.1.002 - Caixa - XP (conta encerrada em 30/03/2026),1987,,
,,,,,1.1.2.006 - Juros Acruados a Receber - XP/Bradesco,1987
25,2026-02-17,Pagamento no vencimento CD Itaú,1.1.1.001 - Caixa - Banco Itaú,200000,,
,,,,,1.1.3.018 - CD Itaú 17fev26 (Itaú),200000
26,2026-02-17,prejuízo CD Itaú,5.1.001 - Despesas Financeiras e Perdas - Itaú,1095.61,,
,,,,,1.1.3.018 - CD Itaú 17fev26 (Itaú),1095.61
27,2026-02-17,Juros recebido CD Itaú,1.1.1.001 - Caixa - Banco Itaú,2493.33,,
,,,,,1.1.2.001 - Juros Acruados a Receber - Itaú (posições com cupom periódico),2493.33
28,2026-02-19,compra de 200.000 quantidades de CD Itaú com vencimento em 19/05/26,1.1.3.021 - CD ITAÚ 19mai26 (Itaú),200000,,
,,,,,1.1.1.001 - Caixa - Banco Itaú,200000
29,2026-02-27,Juros recebidos Itaú,1.1.1.002 - Caixa - XP (conta encerrada em 30/03/2026),3000,,
,,,,,1.1.2.006 - Juros Acruados a Receber - XP/Bradesco,3000
30,2026-02-27,Rendimento aplicação automática,1.1.1.002 - Caixa - XP (conta encerrada em 30/03/2026),157.44,,
